timestamp,phone_orient,time,tracking_id,X_start,y_stop,mid_stroke_pressure,stroke_area_covered,finger_width,finger_orient
11:16:38:136,1,27574.863349,0000029f,461,201,0,0.0,14,-15
11:17:10:809,0,27616.863247,000002b7,242,781,0,175.92918860102841,8,1
11:17:22:927,0,27628.998808,000002b9,544,731,0,0.0,0,-10
11:17:22:976,0,27629.941276,000002ba,550,828,0,153.93804002589985,7,1
11:17:26:759,0,27640.226207,000002bc,687,881,0,0.0,0,0
11:17:29:274,0,27642.608805,000002c3,681,1107,0,131.94689145077132,7,0
11:17:34:512,0,27642.790235,000002c4,675,1111,0,0.0,9,0
11:17:34:561,0,27642.960841,000002c5,0,1110,0,0.0,0,0
11:17:34:668,0,27643.269893,000002c7,679,1104,0,0.0,0,5
11:17:34:710,0,27643.408136,000002c8,676,1105,0,0.0,0,4
11:17:34:752,0,27643.557090,000002c9,680,1103,0,0.0,7,4
11:17:45:807,0,27657.929783,000002d2,49,1026,0,0.0,0,-11
11:17:50:275,0,27660.658402,000002d9,506,885,0,78.53981633974483,5,-13
11:35:06:730,1,28434.576244,000003d1,103,414,0,282.7433388230814,10,0
