15:14:34:183,0,2422.839496,0000023f,000001d3,000001d3,00000000,00000000,0000000c,ffffffdf
15:14:34:275,0,2429.188999,00000240,00000285,00000474,00000000,0000000f,0000000d,00000000
15:14:34:303,0,2429.220601,00000240,00000000,00000473,00000000,00000014,00000000,00000000
15:14:34:342,0,2429.242000,00000240,00000284,00000472,00000000,00000009,00000009,0000005a
15:14:34:392,0,2429.253018,00000240,00000283,00000471,00000000,00000017,0000000d,00000004
15:14:34:463,0,2430.232952,00000241,000001b4,0000040d,00000000,00000009,00000009,ffffffa6
15:14:34:503,0,2430.253216,00000241,000001af,0000040e,00000000,0000000e,0000000d,ffffffe2
15:14:34:575,0,2430.350312,00000242,00000145,000003ea,00000000,00000011,0000000c,ffffffaf
15:14:34:612,0,2430.371329,00000242,00000138,000003e5,00000000,00000000,0000000e,0000004e
15:14:34:666,0,2430.382186,00000242,0000012b,000003df,00000000,0000000f,00000009,0000005a
15:14:34:710,0,2430.393098,00000242,00000117,000003d8,00000000,00000011,00000008,00000000
15:14:34:746,0,2430.404030,00000242,000000fc,000003cf,00000000,0000000d,0000000c,00000000
15:14:34:778,0,2430.415222,00000242,000000d9,000003c4,00000000,00000011,0000000a,00000000
15:14:34:816,0,2430.425736,00000242,000000b9,000003bc,00000000,00000010,0000000b,ffffffa6
15:14:34:872,0,2430.436457,00000242,0000009f,000003b6,00000000,0000000f,00000007,0000005a
15:14:34:914,0,2430.447166,00000242,0000008b,000003af,00000000,0000000c,00000009,0000004d
15:14:39:851,0,2430.457990,00000242,00000079,000003a9,00000000,00000016,00000000,0000005a
15:14:39:942,0,2432.014726,00000243,00000228,000004b3,00000000,0000000e,0000000c,00000036
15:14:40:008,0,2432.025048,00000243,00000227,00000000,00000000,0000000f,0000000d,00000034
15:14:40:023,0,2432.035855,00000243,00000226,00000000,00000000,00000000,00000000,0000002d
15:14:40:054,0,2432.046734,00000243,00000225,00000000,00000000,00000000,0000000e,00000024
15:14:40:076,0,2432.057746,00000243,00000224,00000000,00000000,00000010,00000000,00000025
15:14:40:084,0,2432.068486,00000243,00000223,00000000,00000000,00000000,00000000,00000000
15:14:40:119,0,2432.100944,00000243,00000224,000004b2,00000000,0000000d,00000007,fffffff1
15:14:40:168,0,2432.111780,00000243,00000225,000004b1,00000000,0000000e,00000009,ffffffee
15:14:43:084,0,2436.131214,00000244,00000220,0000033d,00000000,0000000c,00000008,00000048
15:14:43:110,0,2436.173835,00000244,00000222,00000000,00000000,0000000e,00000000,00000015
15:14:43:151,0,2436.184753,00000244,00000225,0000033b,00000000,0000000d,00000009,00000014
15:14:43:187,0,2436.195582,00000244,00000229,00000337,00000000,0000000b,00000000,00000000
15:14:43:237,0,2438.122789,00000245,0000028c,0000049b,00000000,0000000a,00000000,0000003c
15:14:43:257,0,2438.143608,00000245,0000028b,00000000,00000000,0000000b,0000000a,00000000
